"centroid_lon","centroid_lat","feature_type","name","source"
"-0.12","51.32","","Coulsdon and Purley","https://en.wikipedia.org/wiki/Coulsdon_and_Purley_Urban_District"
"-0.067222","51.525278","","St. Matthew","https://en.wikipedia.org/wiki/St_Matthew%27s,_Bethnal_Green"
"","","","London",""
"0.35","51.5","","Orsett","https://en.wikipedia.org/wiki/Orsett_Rural_District"
"-0.26","51.4","","Malden and Coombe","https://en.wikipedia.org/wiki/Municipal_Borough_of_Malden_and_Coombe"
"-0.0901","51.4988","","Newington","https://en.wikipedia.org/wiki/Newington,_London"
"-0.2","51.4","","Merton and Morden","https://en.wikipedia.org/wiki/Merton_and_Morden_Urban_District"
"-0.1601","51.5213","","St. Marylebone","https://en.wikipedia.org/wiki/Metropolitan_Borough_of_St_Marylebone"
"-0.35","51.47","","Heston and Isleworth","https://en.wikipedia.org/wiki/Municipal_Borough_of_Heston_and_Isleworth"
"","","","St. Saviour's District","https://en.wikipedia.org/wiki/St_Saviour%27s_District_%28Metropolis%29"
"","","","St. James and St. John",""
"-0.092671","51.501263","","St. George the Martyr","https://en.wikipedia.org/wiki/St_George_the_Martyr_Southwark"
"0.0086","51.4522","","Lee","https://en.wikipedia.org/wiki/Lee,_London"
"","","","Middle Temple","https://en.wikipedia.org/wiki/Middle_Temple"
"-0.2655","51.4911","","Brentford and Chiswick","https://en.wikipedia.org/wiki/Municipal_Borough_of_Brentford_and_Chiswick"
"","","","St. Olave","https://en.wikipedia.org/wiki/St_Olave_District_%28Metropolis%29"
"","","","St. Mary Newington",""
"-0.2252","51.5837","","Hendon","https://en.wikipedia.org/wiki/Hendon"
"","","","Gray's Inn",""
"0.07227","51.6225","","Chigwell","https://en.wikipedia.org/wiki/Chigwell"
"-0.2352","51.4741","","Barnes","https://en.wikipedia.org/wiki/Barnes,_London"
"-0.367","51.422","","Hampton","https://en.wikipedia.org/wiki/Hampton,_London"
"","","","St. Martin-in-the-Fields","https://en.wikipedia.org/wiki/St_Martin_in_the_Fields_%28parish%29"
"","","","London County Council",""
"-0.0772","51.52675","","St. Leonard Shoreditch","https://en.wikipedia.org/wiki/St_Leonard%27s,_Shoreditch"
"-0.0869","51.473","","St. Giles Camberwell","https://en.wikipedia.org/wiki/St_Giles%27_Church,_Camberwell"
"-0.161","51.643","","East Barnet Valley","https://en.wikipedia.org/wiki/East_Barnet_Urban_District"
"","","","Hamlet of Mile End Old Town",""
"-0.133333","51.533333","","St. Pancras","https://en.wikipedia.org/wiki/Metropolitan_Borough_of_St_Pancras"
"-0.4211","51.5127","","Hayes","https://en.wikipedia.org/wiki/Hayes,_Hillingdon"
"-0.138","51.361","","Beddington and Wallington","https://en.wikipedia.org/wiki/Municipal_Borough_of_Beddington_and_Wallington"
"0.4728","51.5117","","Yiewsley and West Drayton","https://en.wikipedia.org/wiki/Yiewsley_and_West_Drayton_Urban_District"
"-0.175556","51.476667","","St. Mary Battersea","https://en.wikipedia.org/wiki/St_Mary%27s_Church_Battersea"
"-0.102058","51.538406","","St. Mary Islington","https://en.wikipedia.org/wiki/St_Mary%27s_Church_Islington"
"-0.0901","51.4988","","St. Mary Newington","https://en.wikipedia.org/wiki/Newington_London"
"0.03","51.592","","Wanstead and Woodford","https://en.wikipedia.org/wiki/Municipal_Borough_of_Wanstead_and_Woodford"
"-0.43","51.591","","Ruislip-Northwood","https://en.wikipedia.org/wiki/Ruislip-Northwood_Urban_District"
"-0.091667","51.57","","South Hornsey","https://en.wikipedia.org/wiki/South_Hornsey"
"-0.3753","51.5113","","Southall-Norwood","https://en.wikipedia.org/wiki/Municipal_Borough_of_Southall"
"","","","St. Giles","https://en.wikipedia.org/wiki/St_Giles_District_(Metropolis)"
"0.20","51.36","","Sutton and Cheam","https://en.wikipedia.org/wiki/Municipal_Borough_of_Sutton_and_Cheam"
"-0.0178","51.5066","","Poplar","https://en.wikipedia.org/wiki/Poplar,_London"
"-0.332716","51.565496","","Harrow-on-the-hill","https://en.wikipedia.org/wiki/Harrow_on_the_Hill"
"","","","Sutton",""
"0.083333","51.416667","","Chislehurst and Sidcup","https://en.wikipedia.org/wiki/Chislehurst_and_Sidcup"
"-0.1333","51.4995","","Westminster District","https://en.wikipedia.org/wiki/Westminster"
"","","","Strand","https://en.wikipedia.org/wiki/Strand_District_(Metropolis)"
"-0.093","51.525","","St. Luke","https://en.wikipedia.org/wiki/St_Luke%27s,_London"
"-0.4201","51.502","","Hayes and Harlington","https://en.wikipedia.org/wiki/Hayes_and_Harlington_Urban_District"
"-0.142778","51.5125","","Hanover Square","https://en.wikipedia.org/wiki/St_George%27s,_Hanover_Square"
"","","","St. George","https://en.wikipedia.org/wiki/Westminster_St_George%27s_(UK_Parliament_constituency)"
"-0.2743","51.5826","","Kingsbury","https://en.wikipedia.org/wiki/Kingsbury"
"0.1812","51.4491","","Crayford","https://en.wikipedia.org/wiki/Crayford"
"-0.1951","51.5021","","St. Mary Abbotts","https://en.wikipedia.org/wiki/Metropolitan_Borough_of_Kensington"
"-0.1333","51.4995","","St. Margaret & St. John Westminster","https://en.wikipedia.org/wiki/Westminster_St_Margaret_and_St_John"
"0.05","51.5","","Port of London","https://en.wikipedia.org/wiki/Port_of_London"
"-0.25","51.5","","Hammersmith and Fulham","https://es.m.wikipedia.org/wiki/Hammersmith_y_Fulham"
"0.116667","51.55","","Barking and Dagenham","https://es.m.wikipedia.org/wiki/Barking_y_Dagenham"
