Borough,Total Diptheria
Kensington and Chelsea,106
Hounslow,168
Bexley,79
Lewisham,96
Redbridge,86
Lambeth,59
Barnet,94
Havering,30
Kingston upon Thames,38
Thurrock,2
Islington,194
Waltham Forest,95
Ealing,105
Hammersmith and Fulham,256
Southwark,195
Newham,69
Tower Hamlets,227
Greenwich,64
London County Council,15
Brent,67
Hillingdon,35
Haringey,93
Port of London,16
Croydon,92
Enfield,116
Camden,225
Sutton,33
Wandsworth,213
Richmond upon Thame,54
Merton,56
Hackney,132
Barking and Dagenham,39
City of Westminster,271
City of London,31
Bromley,85
Harrow,20
southwark,19
